id,movie_title,rating,year,rank,star_cast,newtitle
196,Salinui chueok,8.068413553,2003,196,Bong Joon Ho (dir.); Song Kang-ho; Kim Sang-kyung,Shootout at Wadala
197,Relatos salvajes,8.066790751,2014,197,Damián Szifron (dir.); Darío Grandinetti; María Marull,Mere Brother Ki Dulhan
198,Det sjunde inseglet,8.065491779,1957,198,Ingmar Bergman (dir.); Max von Sydow; Gunnar Björnstrand,Mohenjo Daro
199,Room,8.06389529,2015,199,Lenny Abrahamson (dir.); Brie Larson; Jacob Tremblay,Action Jackson
200,Mad Max: Fury Road,8.063366828,2015,200,George Miller (dir.); Tom Hardy; Charlize Theron,Mary Kom
201,Mary and Max,8.061787514,2009,201,Adam Elliot (dir.); Toni Collette; Philip Seymour Hoffman,Haider
202,How to Train Your Dragon,8.061458641,2010,202,Dean DeBlois (dir.); Jay Baruchel; Gerard Butler,Jodhaa Akbar
203,The Big Lebowski,8.060544726,1998,203,Joel Coen (dir.); Jeff Bridges; John Goodman,Mubarakan
204,Monsters; Inc,8.059682477,2001,204,Pete Docter (dir.); Billy Crystal; John Goodman,Once Upon a Time in Mumbaai
205,Jaws,8.059561898,1975,205,Steven Spielberg (dir.); Roy Scheider; Robert Shaw,Jaane Tu... Ya Jaane Na
206,Tôkyô monogatari,8.056975008,1953,206,Yasujirô Ozu (dir.); Chishû Ryû; Chieko Higashiyama,Yamla Pagla Deewana
207,La passion de Jeanne d'Arc,8.056164164,1928,207,Carl Theodor Dreyer (dir.); Maria Falconetti; Eugene Silvain,Kabhi Khushi Kabhie Gham
208,Dead Poets Society,8.055524675,1989,208,Peter Weir (dir.); Robin Williams; Robert Sean Leonard,Boss
209,Hotel Rwanda,8.051694703,2004,209,Terry George (dir.); Don Cheadle; Sophie Okonedo,Phantom
210,Ford v Ferrari,8.047464667,2019,210,James Mangold (dir.); Matt Damon; Christian Bale,Jagga Jasoos
211,Rocky,8.046533498,1976,211,John G. Avildsen (dir.); Sylvester Stallone; Talia Shire,Dilwale Dulhania Le Jayenge
212,Platoon,8.046005289,1986,212,Oliver Stone (dir.); Charlie Sheen; Tom Berenger,Rang De Basanti
213,Stand by Me,8.04030762,1986,213,Rob Reiner (dir.); Wil Wheaton; River Phoenix,Heropanti
214,The Terminator,8.040172867,1984,214,James Cameron (dir.); Arnold Schwarzenegger; Linda Hamilton,Ki & Ka
215,Pather Panchali,8.0401291,1955,215,Satyajit Ray (dir.); Kanu Bannerjee; Karuna Bannerjee,102 Not Out
216,Spotlight,8.03998645,2015,216,Tom McCarthy (dir.); Mark Ruffalo; Michael Keaton,Fanaa
217,Logan,8.038081493,2017,217,James Mangold (dir.); Hugh Jackman; Patrick Stewart,Hate Story 3
218,Rush,8.037660565,2013,218,Ron Howard (dir.); Daniel Brühl; Chris Hemsworth,Delhi Belly
219,Ratatouille,8.037293166,2007,219,Brad Bird (dir.); Brad Garrett; Lou Romano,Kahaani
220,Network,8.036197318,1976,220,Sidney Lumet (dir.); Faye Dunaway; William Holden,Golmaal Returns
221,Into the Wild,8.034615851,2007,221,Sean Penn (dir.); Emile Hirsch; Vince Vaughn,Main Tera Hero
222,Everything Everywhere All at Once,8.032949231,2022,222,Dan Kwan (dir.); Michelle Yeoh; Stephanie Hsu,Sachin A Billion Dreams
223,The Wizard of Oz,8.032434183,1939,223,Victor Fleming (dir.); Judy Garland; Frank Morgan,Sachin: A Billion Dreams
224,Before Sunset,8.030744307,2004,224,Richard Linklater (dir.); Ethan Hawke; Julie Delpy,Bachchhan Paandey
225,Groundhog Day,8.029173119,1993,225,Harold Ramis (dir.); Bill Murray; Andie MacDowell,Don: The Chase Begins Again
226,The Exorcist,8.027794238,1973,226,William Friedkin (dir.); Ellen Burstyn; Max von Sydow,Badlapur
227,Jai Bhim,8.02694458,2021,227,T.J. Gnanavel (dir.); Suriya; Lijo Mol Jose,Kis Kisko Pyaar Karoon
228,The Best Years of Our Lives,8.025305151,1946,228,William Wyler (dir.); Myrna Loy; Dana Andrews,Spider-Man: No Way Home
